site_id,timestamp,downlink_traffic_gb,active_users,call_setup_success_rate,call_drop_rate,handover_success_rate,signal_quality_db,retransmission_rate,latency_ms,cpu_load,temperature_c,supply_voltage_v,uplink_interference_dbm
S0,2024-01-01 00:00:00,3.834385095364636,39.841022082042606,97.87402996357238,0.696367605360637,96.94259165226502,-73.08275334112406,2.2216552518600485,,41.54160781577443,38.73843005415788,47.96427484871964,-94.91946495075399
S0,2024-01-01 00:15:00,3.591293488152685,39.00368738013979,97.87542324988753,0.5978185154920924,96.5571331112935,-71.0866061592898,2.3966086766999695,24.515036286874846,36.75728031780066,38.42487599753368,47.96081667563062,-98.73605078506905
S0,2024-01-01 00:30:00,3.9467903077594544,41.05615045933794,97.47830364997198,0.5408711700569708,96.98006289907242,-68.07222268632327,2.5720593327656176,25.807411859827447,39.22348310141615,38.57375416710463,48.75159358910352,-95.80660497639465
S0,2024-01-01 00:45:00,4.005471641427002,41.12724655194932,97.74245373990294,0.574667018123859,96.37461066612839,-70.56798844273374,2.227333361974208,26.542741132197936,38.66772665072405,38.14196750989729,47.89872195886556,-97.91021384152147
S0,2024-01-01 01:00:00,3.47855930070902,40.72700334286443,98.35128792399118,0.49593197647774806,97.06089592239816,-71.61788577945165,2.382331617154245,24.6817323823759,36.85797441296844,37.65212614145992,48.2970680976185,-96.81772640784708
S0,2024-01-01 01:15:00,3.639813346410049,39.88300968239478,97.68325643980208,0.8157350238911194,97.35688956645421,-73.41576644355848,2.3817311061589943,25.648889183640634,36.82470701970264,40.289411264546764,48.543497155960786,-99.88291533298094
S0,2024-01-01 01:30:00,3.969620171313915,41.85794107392421,97.47649132100142,0.6086940418275961,97.45519784559077,-68.71842289629342,2.132181696936112,24.74939047940574,38.24897550613695,37.54078868293243,48.201184225736526,-97.50517535646196
S0,2024-01-01 01:45:00,3.9476895056456236,42.24537291830409,97.62698218268983,0.6847848215562895,97.08285393383048,-70.90734845279528,2.4348111345800247,26.814789029407933,38.74593357164722,38.724932094925265,47.7978551786156,-99.59812377885154
S0,2024-01-01 02:00:00,4.093777256930724,41.081219699826605,97.69987559960597,0.5692296614574502,96.242330422244,-73.45454461167444,2.416030851535987,23.50304040952535,40.80950744986425,,47.61465372420392,-97.56574581986695
S0,2024-01-01 02:15:00,4.027681564968622,41.950397320957116,97.61807951197699,0.5210209579829616,96.8685758187435,-72.22782345764695,2.5317293171890247,27.454627047541308,42.60623862817416,39.08008260218073,48.22362608481426,-100.17402274320817
S0,2024-01-01 02:30:00,4.536916183580097,46.87439394730741,97.64292715312739,0.6069868626593268,97.63858117470456,-72.78547311771133,2.197205750904925,27.140172091041837,41.89186605755143,38.16248858561464,48.493507567096934,-97.96820930017181
S0,2024-01-01 02:45:00,4.694634395934788,43.016479911497186,97.20545425376359,0.7456861435211775,96.42661054685098,-71.10139455645634,2.453883710996437,26.37172745214824,42.79798532916645,39.51809598870441,48.16378892865874,-96.09713377458898
S0,2024-01-01 03:00:00,4.74798239779861,50.362534682485396,97.3326221893426,0.5898975714095268,96.73970945325365,-70.63546321590981,2.7495826478956786,27.997571818771924,41.2976602361722,40.278527295577746,48.370034446180846,-96.81249000568612
S0,2024-01-01 03:15:00,5.273986561568178,51.76703962972828,97.55579193332129,0.5627246135610281,97.31578005599711,-71.75334433531091,2.914759335829023,26.759009614232525,,40.13299040002769,48.77758411432143,-99.3546282271535
